Per Annum,سالانه
Anniversary,سالگرد
Biennial,هر دو سال یکبار
Quadrennial,هر چهار سال یک‌بار
Annual ,سالانه
Benefit ,سود، مزیت
Beneficial ,‏سودمند
Benefactor,فرد مفید، بانی خیر
Benevolent,خیرخواه، خیر اندیش
Bonus,انعام و سود
benign,خوش خیم (تومور)
benignity,خوش خیمی
Biceps,عضله دو سر بازو
Bicycle ,دوچرخه
Biennial ,هر دو سال یک بار
Bifocal,دارای دو کانون يا مرکز
Incise ,برش، شکاف
Concise ,بدون اضافات، چکیده و خلاصه
Circumcise  ,دور چیزی را برش دادن، ختنه کردن
Decisive ,قطعی (بدون تردید)
Excision ,برش قسمت های زائد
Genocide ,نسل‌کشی
Suicide ,خودکشی
Pesticide ,آفت‌کش
Decide ,تصمیم گرفتن (از بین بردن تردید)
Circle ,دایره
Circumcise ,دور چیزی را برش دادن، ختنه کردن
Circumspect ,‏اطراف رو زیر نظر داشتن، محتاط
Circumfluent ,جاری در اطراف
Circumfluous ocean,اقیانوس احاطه کننده
Circumstance ,محیط، پیرامون، شرایط
Circumlocution,کش دادن صحبت
Circuit,مدار
Circulation,گردش خون
Close,بستن
Enclosure,محوطه بسته و محفوظ
Conclusion,ختم و نتیجه گیری
conclusive,قطعی و جامع
Exclude,خارج شدن از گروه، مجزا شدن
Exclusive,انحصاری و بسته
Include,شامل شدن، وارد یک گروه شدن
Inclusion,شامل شدن و داخل شدن
Cognition,‏شناخت و درک
Cognizant ,دارای شناخت و آگاه
Recognize ,شناسایی کردن
Prognosis ,علائم شناسایی، پیش آگهی
Diagnose ,تشخیص دادن
Know ,شناختن، فهمیدن
knowledge ,‏دانش، شناخت
knowledgeable ,دانا
Acknowledge ,تایید کردن
Core,هسته و مرکز
Cordially ,مهربانانه و قلبا
Courage ,شجاعت، نترسی
Courageous,شجاع، دلدار
Discourage,بی انگیزه کردن
Encourage,تشویق دادن، شجاعت دادن
Corporal,بدنی
Corps,هیئت، گروه
Corpse,جسد
Corpulent,هیکل‌مند، گوشتالو
Corporation,جمعی و گروهی، به‌صورت شرکت در آمده
Dorm,خوابگاه
Dormitory,خوابگاه
Dormant,خواب، نهفته
Euphemism,استفاده از کلمات خوب بخ جای کلمات بد
Euphoria,سرخوشی، شعف
effect,تاثیر
Effective,موثر
Ineffective,بی تاثیر
Affact,اثر گذاشتن
Gradient,درجه، شیب
Gradual ,تدریجی
Progress,پیشرفت (قدم‌به‌قدم)
Regress,پس رفت (Re به معنای عقب است)
Degree,نزول درجه، کم اهمیت شدن
Graduated ,به درجه بالاتر رسیده، فارغ التحصیل
Aggressive ,پیش رونده، تهاجمی
Habit,عادتی که جاافتاده و در وجود فرد مستقرشده
Behavior,رفتاری که جاافتاده و در وجود فرد مستقر شده
Habitat,ساکن و مستقر
Habitual,بر اساس عادت
Inhabit,مستقر شدن و زندگی کردن در جایی
Inhabitant ,ساکنین
Habilitate,مستقر کردن، تثبیت کردن. پابرجا کردن
Rehabilitation ,باز استقرار، بازتوانی
Hemi epilespy,تشنج یا صرع یک طرفه بدن
Hemiplegla,فلج یک طرفه بدن
Hemisphere,نیم کره
Seniautomatic,نیمه خودکار
Semicircle ,نیم دایره
semi civilized‏,نیمه متمدن
Semimonthly,نیمه متمدن
Hemialgia,درد در یک‌طرف سر
Exhume,از خاک درآوردن، نبش قبر
Humble,خاکی، فروتن
Humbly,فروتنانه
Humiliate,خاک‌مال کردن، تحقیر کردن
Intellectual,ذهنی، انسان باهوش
Intelligent,باهوش
Intelligence ,هوش
Legal,قانونی
lllegal,غیر قانونی
Legality ,قانون مداری
Legacy ,ارثیه قانونی
Legislation ,قانون گذاری
Legitimate,مشروع و قانونی
Privilege,امتیاز قانونی
Liberal ,‏آزاد
Liberate ,آزاد کردن
Deliver,تحویل دادن، رها کردن، زایمان
Compute ,محاسبه کردن
Computable ,قابل‌محاسبه
Computation ,محاسبه فکری
Dispute ,بحث و جدل فکری
Disputable ,قابل بحث
Reputation ,شهرت در افکار عمومی
Putative ,مشهور در افکار عمومی
complete,کامل کردن
deplete,حذف کردن، از بین بردن
replenish ,دوباره پر کردن
Supplementary ,مکمل، اضافی
supplements ,مکمل ها
Complementary  ,تکمیلی
Portion,سهم و بخش
Proportion,تناسب
proportionately,به طور متناسب
proportional,متناسب، دارای بخش های برابر
Disproportionately,به طور نامتناسب
Participate,سهیم شدن و مشارکت
Participatory,مشارکتی
Primary,ابتدایی
Primarily,ابتدا
Primates,انسان های اولیه
Prime,اولیه و مهم
Primer,کتاب‌های آموزش مقدماتی خواندن
Primeval ,دوران اولیه و قدیم
Primitive,بدوی
Satisfy,راضی کردن، کفایت کردن
Satisfactory ,کافی و کامل
Dissatisfaction ,نارضایتی
Saturated,اشباع شده، به حد کفایت رسیده
Unsaturated,غیر اشباع
Same,مشابه
Similar,مشابه
Similarity,شباهت
Assimilate,شبیه کل شدن، همرنگ گروه شدن
Resemblance,شباهت
Similitude,شباهت
Simultaneous,به طور همزمان
Simulation,شبیه سازی
Stamina,قدرت و ثبات
Constant,ثابت
Obstacle,مانع، بی حرکت کننده
Persist ,مقاومت
Resist,مقاومت
Withstand,مقاومت
Substance,جوهره ثابت، ماده
Stroke,سکته مغزی و بی حرکتی
Stare,ثابت و خیره ماندن
Structure,اسکلت یا ساختار ثابت
Construct,ساختن
Destructive,مخرب
Destroy,تخریب
Obstruction,انسداد
Reconstruction,دوباره سازی
